ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
KR5102314204,0.039,0.066,-0.08,0.164,0.001,0.001,10708.0,2576.0,1.0
KR5102314212,0.059,0.276,-0.475,0.565,0.003,0.005,10690.0,2652.0,1.0
KR5102314352,0.032,0.061,-0.085,0.145,0.001,0.001,9549.0,2709.0,1.0
KR5101753360,0.141,0.267,-0.364,0.634,0.003,0.004,9546.0,2733.0,1.0
KR5234769887,0.035,0.424,-0.767,0.828,0.004,0.009,11092.0,2484.0,1.0
KR5101888398,0.078,0.029,0.025,0.134,0.0,0.0,10910.0,2855.0,1.0
KR5209950314,0.203,0.197,-0.173,0.561,0.002,0.002,11030.0,3079.0,1.0
KR5225A89035,0.133,0.134,-0.128,0.371,0.001,0.002,9560.0,2902.0,1.0
KR5102A54345,0.113,0.391,-0.597,0.848,0.004,0.007,10527.0,2930.0,1.0
KR5364AH9467,0.366,0.189,0.023,0.73,0.002,0.002,9386.0,2919.0,1.0
KR5235AK9691,0.281,0.187,-0.066,0.634,0.002,0.002,8474.0,2614.0,1.0
KR5303AL4276,0.113,0.183,-0.235,0.442,0.002,0.003,9760.0,2804.0,1.0
KR5213AI2357,0.17,0.186,-0.173,0.522,0.002,0.002,10448.0,3071.0,1.0
KR5301AK5995,0.104,0.123,-0.136,0.336,0.001,0.002,10485.0,2700.0,1.0
KR5235A52511,0.276,0.171,-0.037,0.599,0.002,0.002,9261.0,2926.0,1.0
KR5236AN0936,0.17,0.177,-0.185,0.477,0.002,0.002,9703.0,2872.0,1.0
KR5235AK9774,0.046,0.337,-0.584,0.649,0.004,0.006,9059.0,2708.0,1.0
KR5235A52578,-0.066,0.226,-0.502,0.35,0.002,0.004,9237.0,2832.0,1.0
KR5301AL4401,0.216,0.33,-0.429,0.802,0.003,0.005,10079.0,2888.0,1.0
KR5301AK6274,0.194,0.209,-0.209,0.594,0.002,0.003,9966.0,2613.0,1.0
KR5370AP9956,0.046,0.086,-0.122,0.195,0.001,0.001,10211.0,2690.0,1.0
KR5230AR3486,0.139,0.139,-0.133,0.384,0.001,0.002,9543.0,3218.0,1.0
KR5365AJ4440,0.106,0.243,-0.358,0.546,0.003,0.004,8514.0,2918.0,1.0
KR5235AK9808,0.225,0.084,0.072,0.384,0.001,0.001,9860.0,3049.0,1.0
KR5236AS4826,0.078,0.073,-0.057,0.212,0.001,0.001,9458.0,3076.0,1.0
KR5105AH6400,-0.014,0.26,-0.518,0.466,0.003,0.005,10356.0,2642.0,1.0
KR5235A52487,0.291,0.26,-0.181,0.809,0.002,0.003,10933.0,3033.0,1.0
KR5301AT1938,0.162,0.245,-0.281,0.642,0.003,0.004,9622.0,2722.0,1.0
KR5301AT1987,0.021,0.068,-0.107,0.145,0.001,0.001,9202.0,2263.0,1.0
KR5232AT9794,0.009,0.081,-0.131,0.168,0.001,0.001,9763.0,3195.0,1.0
KR5207AW8081,0.04,0.049,-0.049,0.134,0.001,0.001,9192.0,2934.0,1.0
K55105B00871,-0.066,0.308,-0.669,0.521,0.003,0.005,8896.0,2780.0,1.0
KR5101AT3522,0.061,0.2,-0.325,0.423,0.002,0.003,8309.0,2992.0,1.0
K55235B04308,0.202,0.15,-0.07,0.492,0.001,0.001,10278.0,2885.0,1.0
K55301B47299,0.116,0.249,-0.35,0.596,0.003,0.004,8036.0,2910.0,1.0
K55235B40039,0.632,0.285,0.112,1.179,0.003,0.003,9480.0,2894.0,1.0
K55301B51572,0.279,0.141,0.029,0.558,0.001,0.001,10845.0,2962.0,1.0
K55301B58643,0.65,0.41,-0.099,1.425,0.004,0.004,8340.0,2840.0,1.0
K55301B09117,-0.174,0.243,-0.633,0.293,0.003,0.004,8541.0,2809.0,1.0
K55301BA7040,0.304,0.147,0.009,0.562,0.002,0.001,8092.0,2783.0,1.0
K55235B96163,0.442,0.239,-0.022,0.869,0.002,0.002,10596.0,3084.0,1.0
K55101BD5217,0.278,0.192,-0.057,0.658,0.002,0.002,9896.0,2788.0,1.0
K55307BC6945,0.235,0.29,-0.318,0.783,0.003,0.004,10211.0,3118.0,1.0
K55363BC7076,0.073,0.048,-0.014,0.164,0.0,0.001,10606.0,2763.0,1.0
K55105BG6820,0.046,0.049,-0.044,0.137,0.001,0.001,7923.0,2934.0,1.0
K55105BG6945,0.101,0.226,-0.311,0.535,0.002,0.004,8462.0,2830.0,1.0
K55105BG6960,0.114,0.205,-0.271,0.506,0.002,0.003,8993.0,2779.0,1.0
K55236BG3274,0.05,0.196,-0.313,0.406,0.002,0.003,9120.0,2688.0,1.0
K55236BG3001,0.11,0.065,-0.015,0.229,0.001,0.001,9348.0,2723.0,1.0
K55209BG6221,0.101,0.17,-0.225,0.406,0.002,0.002,9438.0,2933.0,1.0
KR5101AT3589,0.13,0.123,-0.104,0.351,0.001,0.002,7781.0,2578.0,1.0
K55105BH1010,0.113,0.154,-0.193,0.393,0.002,0.002,8529.0,3004.0,1.0
K55102BJ9261,0.115,0.094,-0.072,0.284,0.001,0.001,8887.0,2448.0,1.0
K55301BM7574,0.216,0.142,-0.053,0.473,0.001,0.001,9880.0,2972.0,1.0
K55301BM7459,0.216,0.135,-0.032,0.477,0.001,0.001,10106.0,2884.0,1.0
K55301BM7640,0.2,0.124,-0.043,0.424,0.001,0.001,8371.0,2436.0,1.0
K55301BM7731,0.16,0.102,-0.035,0.347,0.001,0.001,9699.0,2557.0,1.0
K55301BM8051,0.126,0.083,-0.028,0.283,0.001,0.001,9112.0,2918.0,1.0
K55236BG3266,0.033,0.03,-0.023,0.089,0.0,0.0,9367.0,3188.0,1.0
K55306BO8724,0.323,0.256,-0.158,0.79,0.003,0.003,8543.0,2948.0,1.0
K55214B30803,0.062,0.027,0.013,0.114,0.0,0.0,9051.0,2976.0,1.0
K55228BT5076,-0.05,0.118,-0.277,0.173,0.001,0.002,8975.0,2808.0,1.0
K55105BS5059,0.118,0.129,-0.121,0.361,0.001,0.002,8500.0,2434.0,1.0
K55207BT6277,0.192,0.232,-0.258,0.629,0.002,0.003,10745.0,2915.0,1.0
K55223BT1450,0.154,0.1,-0.033,0.345,0.001,0.001,8491.0,2581.0,1.0
K55223BT1757,0.177,0.115,-0.03,0.399,0.001,0.001,9768.0,2714.0,1.0
K55223BT1922,0.194,0.122,-0.051,0.418,0.001,0.001,9500.0,2806.0,1.0
K55223BT1096,0.105,0.083,-0.055,0.254,0.001,0.001,9632.0,2908.0,1.0
