ticker,name,seller,account,manager,asset,strategy,region
K55101BT4402,한국투자TDF알아서2030증권투자신탁(주식혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,주식혼합,TDF,글로벌
K55101BT4428,한국투자TDF알아서2035증권투자신탁(주식혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,주식혼합,TDF,글로벌
K55101BT4444,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,주식혼합,TDF,글로벌
K55101BT7397,한국투자TDF알아서2040증권투자신탁(주식혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,주식혼합,TDF,글로벌
K55101BY3944,한국투자TIF알아서평생소득증권자투자신탁(채권혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,채권혼합,TIF,글로벌
K55101CU1644,한국투자TDF알아서2050증권자투자신탁H(주식혼합-재간접형)(C-Re),기업은행,퇴직연금,한국투자,주식혼합,TDF,글로벌
K55105BS5067,삼성한국형TDF2040증권투자신탁H[주식혼합-재간접형]C-Pe,기업은행,퇴직연금,삼성,주식혼합,TDF,글로벌
K55105BT9910,삼성한국형TDF2045증권투자신탁H[주식혼합-재간접형]Cpe(퇴직연금),기업은행,퇴직연금,삼성,주식혼합,TDF,글로벌
K55105BT9936,삼성한국형TDF2035증권투자신탁H[주식혼합-재간접형]Cpe(퇴직연금),기업은행,퇴직연금,삼성,주식혼합,TDF,글로벌
K55105BU1161,삼성한국형TDF2030증권투자신탁H[주식혼합-재간접형]Cpe(퇴직연금),기업은행,퇴직연금,삼성,주식혼합,TDF,글로벌
K55105CK1592,삼성한국형TDF2050증권투자신탁H[주식혼합-재간접형]Cpe(퇴직연금),기업은행,퇴직연금,삼성,주식혼합,TDF,글로벌
K55203C53681,대신KOSPI200인덱스증권자투자신탁(주식-파생형)CPe,기업은행,퇴직연금,대신,주식,인덱스,국내
K55206C95800,키움키워드림TDF2030증권투자신탁 1[혼합-재간접형]C-P2e(퇴직연금),기업은행,퇴직연금,키움,혼합,TDF,글로벌
K55206C95974,키움키워드림TDF2035증권투자신탁 1[혼합-재간접형]C-P2e (퇴직연금),기업은행,퇴직연금,키움,혼합,TDF,글로벌
K55206C96121,키움키워드림TDF2040증권투자신탁 1[혼합-재간접형]C-P2e(퇴직연금),기업은행,퇴직연금,키움,혼합,TDF,글로벌
K55206C96311,키움키워드림TDF2045증권투자신탁 1[혼합-재간접형]C-P2e(퇴직연금),기업은행,퇴직연금,키움,혼합,TDF,글로벌
K55206DW8004,키움키워드림TDF2030증권투자신탁 1[혼합-재간접형]O(퇴직연금),기업은행,퇴직연금,키움,혼합,TDF,글로벌
K55207BU0715,교보악사파워인덱스증권자투자신탁1호(주식)C-Pe,기업은행,퇴직연금,교보악사,주식,인덱스,국내
K55210BU2385,신한마음편한TDF2030증권투자신탁[주식혼합-재간접형](종류C-re),기업은행,퇴직연금,신한,주식혼합,TDF,글로벌
K55210BU2419,신한마음편한TDF2035증권투자신탁[주식혼합-재간접형](종류C-re),기업은행,퇴직연금,신한,주식혼합,TDF,글로벌
K55210BU2435,신한마음편한TDF2040증권투자신탁[주식혼합-재간접형](종류C-re),기업은행,퇴직연금,신한,주식혼합,TDF,글로벌
K55210BU2450,신한마음편한TDF2045증권투자신탁[주식혼합-재간접형](종류C-re),기업은행,퇴직연금,신한,주식혼합,TDF,글로벌
K55210CO3828,신한마음편한TDF2050증권투자신탁[주식혼합-재간접형](종류C-re),기업은행,퇴직연금,신한,주식혼합,TDF,글로벌
K55213C50702,한화LIFEPLUSTDF2045증권투자신탁(혼합-재간접형)C-RPE(퇴직연금),기업은행,퇴직연금,한화,혼합,TDF,글로벌
K55213C51064,한화LIFEPLUSTDF2030증권자투자신탁(혼합-재간접형)종류C-RPE(퇴직연금),기업은행,퇴직연금,한화,혼합,TDF,글로벌
K55213C51718,한화LIFEPLUSTDF2035증권투자신탁(혼합-재간접형)C-RPE(퇴직연금),기업은행,퇴직연금,한화,혼합,TDF,글로벌
K55213C51890,한화LIFEPLUSTDF2040증권자투자신탁(혼합-재간접형)C-RPe(퇴직연금),기업은행,퇴직연금,한화,혼합,TDF,글로벌
K55223BT1096,KB온국민TDF2030증권투자신탁(주식혼합-재간접형)C-퇴직e,기업은행,퇴직연금,KB,주식혼합,TDF,글로벌
K55223BT1278,KB온국민TDF2035증권투자신탁(주식혼합-재간접형)C-퇴직e,기업은행,퇴직연금,KB,주식혼합,TDF,글로벌
K55223BT1450,KB온국민TDF2040증권투자신탁(주식혼합-재간접형)C-퇴직e,기업은행,퇴직연금,KB,주식혼합,TDF,글로벌
K55223BT1757,KB온국민TDF2045증권투자신탁(주식혼합-재간접형)C-퇴직e,기업은행,퇴직연금,KB,주식혼합,TDF,글로벌
K55223BT1922,KB온국민TDF2050증권자투자신탁(주식혼합-재간접형)(H)C-퇴직e,기업은행,퇴직연금,KB,주식혼합,TDF,글로벌
K55234BY9966,IBK베트남플러스아시아증권투자신탁[주식]종류C-Re,기업은행,퇴직연금,IBK,주식,주식,베트남
K55234CJ0997,IBK플레인바닐라EMP증권투자신탁(혼합-재간접형)C-Re,기업은행,퇴직연금,IBK,혼합,EMP,글로벌
K55234DF2459,IBK로우코스트TDF2035증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55234DF2657,IBK로우코스트TDF2030증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55234DF2822,IBK로우코스트TDF2040증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55234DF2988,IBK로우코스트TDF2045증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55234DF3150,IBK로우코스트TDF2050증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55234DF3317,IBK로우코스트TDF2055증권자투자신탁[혼합-재간접형]종류C-Re,기업은행,퇴직연금,IBK,혼합,TDF,글로벌
K55235BW6799,피델리티아시아증권자투자신탁(주식)CP-e,기업은행,퇴직연금,피델리티,주식,주식,아시아
