ticker,date,price,price_after_fees
K55234DF2657,2021-04-30,1009.8,1008.8
K55234DF2657,2021-05-31,1017.7,1016.7
K55234DF2657,2021-06-30,1031.9,1030.9
K55234DF2657,2021-08-31,1063.8,1061.7
K55234DF2657,2021-09-30,1049.1,1047.0
K55234DF2657,2021-11-30,1063.1,1059.9
K55234DF2657,2021-12-31,1078.2,1075.0
K55234DF2657,2022-02-28,1022.5,1018.2
K55234DF2657,2022-03-31,1039.9,1035.6
K55234DF2657,2022-05-31,996.7,991.4
K55234DF2657,2022-06-30,961.3,956.0
K55234DF2657,2022-08-31,991.8,985.5
K55234DF2657,2022-09-30,958.9,952.6
K55234DF2657,2022-10-31,960.9,953.6
K55234DF2657,2022-11-30,969.4,962.1
K55234DF2657,2023-01-31,973.4,965.1
K55234DF2657,2023-02-28,973.4,965.1
K55234DF2657,2023-03-31,983.4,975.1
K55234DF2657,2023-05-31,999.6,990.3
K55234DF2657,2023-06-30,1014.4,1005.1
K55234DF2657,2023-07-31,1010.1,999.8
K55234DF2657,2023-08-31,1015.9,1005.6
K55234DF2657,2023-10-31,968.3,957.0
K55234DF2657,2023-11-30,1007.8,996.5
K55234DF2657,2024-01-31,1059.0,1046.6
K55234DF2657,2024-02-29,1065.2,1052.8
K55234DF2657,2024-04-30,1075.2,1061.7
K55234DF2657,2024-05-31,1090.5,1077.0
K55234DF2657,2024-07-31,1119.4,1104.7
K55234DF2657,2024-09-30,1142.9,1128.2
K55234DF2657,2024-10-31,1146.0,1130.2
K55234DF2657,2024-12-31,1162.6,1146.8
K55234DF2657,2025-01-31,1162.5,1145.5
K55234DF2657,2025-02-28,1181.0,1164.0
K55234DF2657,2025-03-31,1173.7,1156.7
K55234DF2459,2021-04-30,1010.6,1009.6
K55234DF2459,2021-05-31,1019.6,1018.6
K55234DF2459,2021-06-30,1036.2,1035.2
K55234DF2459,2021-08-31,1072.3,1070.2
K55234DF2459,2021-09-30,1056.8,1054.7
K55234DF2459,2021-11-30,1073.6,1070.4
K55234DF2459,2021-12-31,1092.4,1089.2
K55234DF2459,2022-02-28,1031.6,1027.3
K55234DF2459,2022-03-31,1056.6,1052.3
K55234DF2459,2022-05-31,1008.8,1003.5
